post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:fb_product_set,attribute:pa_transparente,attribute_data:pa_transparente,attribute_default:pa_transparente
CANDELABRO DECORATIVO,candelabro-decorativo-4,,871,"Candelabro Hecho de metal, duraderos, esbeltos y clásicos combinan con tu hogar.
Medidas: alto 69 cm, ancho 18 cm.",MATERIAL: METAL,publish,,0,2021-06-04 15:22:26,1,closed,DE0410581,,,no,no,32,87000,,,,18,69,,,instock,no,no,,yes,taxable,,,,,,-1,-1,,,https://decohouse.com.co/decohouse-tienda/wp-content/uploads/2022/03/WhatsApp-Image-2022-03-14-at-2.03.03-PM.jpeg,,https://decohouse.com.co/producto/candelabro-decorativo-4/,simple,,Decoración,candelabro|Decoración|hogar,,,,,
CANDELABRO DECORATIVO,candelabro-decorativo-5,,873,"Candelabro Hecho de metal duradero, esbeltos y clásicos, combinan estética y practicidad con tu hogar.
Medidas alto 55 cm, ancho 15 cm.",MATERIAL: HIERRO,publish,,0,2021-06-04 15:30:32,1,closed,DE0410586,,,no,no,37,75000,,,,15,55,,,instock,no,no,,yes,taxable,,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0410586.jpg ! alt :  ! title : DE0410586 ! desc :  ! caption : ,,https://decohouse.com.co/producto/candelabro-decorativo-5/,simple,,Decoración,candelabro|Decoración|hogar,,,,,
ESPEJO DECORATIVO,espejo-decorativo,,875,"Espejo redondo Decorativo con marco metálico, El toque moderno y especial que estabas buscando.
Nuestro espejo redondo es minimalista y vanguardista.
Contrastará muy bien con tus muebles.",MATERIAL: VIDRIO,publish,,0,2021-06-04 15:40:03,1,closed,DE0450117,,,no,no,31,119900,,,35,,,,,instock,no,no,,yes,taxable,,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0450117.jpg ! alt :  ! title : DE0450117 ! desc :  ! caption : ,,https://decohouse.com.co/producto/espejo-decorativo/,simple,,Decoración,Decoración|Espejo|hogar,,,,,
CANDELABRO DECORATIVO,candelabro-decorativo-8,,881,"Candelabro decorativo, hecho en hierro y latón logra dar un toque de elegancia a nuestros espacios.
Medidas alto 39 cm, ancho 22 cm.",MATERIAL: HIERRO,publish,,0,2021-06-04 15:58:41,1,closed,DE0410527,,,no,no,50,129900,,,,22,39,,,instock,no,no,,yes,taxable,,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0410527.jpg ! alt :  ! title : DE0410527 ! desc :  ! caption : ,,https://decohouse.com.co/producto/candelabro-decorativo-8/,simple,,Decoración,candelabro|Decoración|hogar,,,,,
MESA DECORATIVA FLOR,mesa-decorativa-flor,,947,"Mesa decorativa flor en madera, para decorar tus espacios.",MATERIAL: MADERA Y VIDRIO,publish,,0,2021-06-04 20:19:28,1,closed,DE0110316,,,no,no,30,179900,,,,40,32,,,instock,no,no,,yes,taxable,,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0110316.jpg ! alt :  ! title : DE0110316 ! desc :  ! caption : ,,https://decohouse.com.co/producto/mesa-decorativa-flor/,simple,,Madera,hogar|madera|Mesa,,,Blanco|Lila|Negro|Wengue,0|1|1,
MESA DECORATIVA CORAL,mesa-decorativa-cora,,955,"Mesa coral decorativa en madera, para decorar tus espacios.",MATERIAL: MADERA Y VIDRIO,publish,,0,2021-06-04 20:31:26,1,closed,DE0110315,,,no,no,30,179900,,,,40,31,,,instock,no,no,,yes,taxable,,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0110315.jpg ! alt :  ! title : DE0110315 ! desc :  ! caption : ,,https://decohouse.com.co/producto/mesa-decorativa-cora/,simple,,Madera,Decoración|hogar|madera|Mesa,,,Blanco|Lila|Negro|Wengue,0|1|1,
MESA DECORATIVA REDONDA,mesa-decorativa-redonda,,961,"Mesa redonda decorativa en madera, para decorar nuestros espacios.",MATERIAL: MADERA Y VIDRIO,publish,,0,2021-06-04 20:39:48,1,closed,DE0110348,,,no,no,20,179900,,,40,28,30,,,instock,no,no,,yes,taxable,,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0110348.jpg ! alt :  ! title : DE0110348 ! desc :  ! caption : ,,https://decohouse.com.co/producto/mesa-decorativa-redonda/,simple,,Madera,Decoración|hogar|madera|Mesa,,,Blanco|Lila|Negro|Wengue,0|1|1,
MESA COLMENA,mesa-colmena,,970,"Mesa colmena en madera, para decorar los espacios de nuestro hogar.",MATERIAL: MADERA Y VIDRIO,publish,,0,2021-06-04 20:46:41,1,closed,DE0110818,,,no,no,30,229900,,,,50,37,,,instock,no,no,,yes,taxable,,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0110818.jpg ! alt :  ! title : DE0110818 ! desc :  ! caption : ,,https://decohouse.com.co/producto/mesa-colmena/,simple,,Madera,Decoración|hogar|madera|Mesa,,,Blanco,0|1|0,
MESA DECORATIVA REDONDA TORRE,mesa-decorativa-redonda-torre,,972,"Mesa redonda torre decorativa en madera.
Medida: alto 35 cm, ancho 30 cm.
disponible en color: blanco, negro, wenge.",MATERIAL: MADERA Y VIDRIO,publish,,0,2021-06-04 21:00:45,1,closed,DE0110349,,,no,no,30,179900,,,40,30,35,,,instock,no,no,,yes,taxable,,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0110349.jpg ! alt :  ! title : DE0110349 ! desc :  ! caption : ,,https://decohouse.com.co/producto/mesa-decorativa-redonda-torre/,simple,,Madera,Decoración|hogar|madera|Mesa,,,Blanco|Negro|Wengue,0|1|1,
MESA DECORATIVA CADENA REDONDA GRANDE,mesa-decorativa-cadena-redonda-grande,,977,"Mesa cadena redonda decorativa, idea para decorar nuestros espacios.

Medida alto 23 cm, ancho 44 cm.

Disponible en color: blanco, wenge, negro.",MATERIAL: MADERA Y VIDRIO,publish,,0,2021-06-04 21:13:53,1,closed,DE0110350,,,no,no,20,349900,,,,23,44,,,instock,no,no,,yes,taxable,,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0110350.jpg ! alt :  ! title : DE0110350 ! desc :  ! caption : ,,https://decohouse.com.co/producto/mesa-decorativa-cadena-redonda-grande/,simple,,Madera,Decoración|hogar|madera|Mesa,,,Blanco|Negro|Wengue,0|1|1,
MATERA CERAMICA,matera-ceramica,,988,"Matera pocillo con plato en Cerámica, con tamaño de diámetro 14 cm, alto 11 cm.",MATERIAL: CERÁMICA,publish,,0,2021-06-04 21:27:19,1,closed,JA0011692,,,no,no,500,12000,,,14,,11,,,instock,no,no,,yes,taxable,998|1002,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/JA0011692.jpg ! alt :  ! title : JA0011692 ! desc :  ! caption : ,,https://decohouse.com.co/producto/matera-ceramica/,simple,,Cerámica|Jardinería > Macetas|Jardinería > Macetas > Macetas en cerámica,CERÁMICA|Decoración|hogar|jardinería,,,,,
MATERA CERAMICA,matera-ceramica-2,,991,"Matera pocillo con plato en Cerámica, con tamaño de diámetro 14 cm, alto 11 cm.",MATERIAL: CERÁMICA,publish,,0,2021-06-04 21:58:56,1,closed,JA0011693,,,no,no,700,12000,,,14,,11,,,instock,no,no,,yes,taxable,998|1002,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/JA0011693.jpg ! alt :  ! title : JA0011693 ! desc :  ! caption : ,,https://decohouse.com.co/producto/matera-ceramica-2/,simple,,Cerámica,CERÁMICA|Decoración|hogar|MATERO,,,,,
